Konstrukt,Construct (Translated),Variablenname,Quelle (Unipark / R),Instruktion,Instructions (translated),Fragentext,Text of question (translated),Antwortformat,Format of answer (translate),fehlende Werte (Angabe durch Proband),fehlende Werte (systemseitig),"Rekodierung in R (s. Tabellenblatt ""neu berechnet"")",Anmerkungen,Notes (translated),Änderung über Wellen hinweg,"change between waves (translated)
","Welle 1
03./04.03.","Welle 2
10./11.03.","Welle 3
17./18.03.","Welle 4
24./25.03.","Welle 5
31.03./01.04.","Welle 6
07./08.04.","Welle 7
14./15.04.","Welle 8
21./22.04.","Welle 9
28./29.04.",Welle 10,Welle 11,Welle 12,Welle 13,Welle 14,Welle 15
Symptome,symptoms,SYMP_SMELL,Unipark,Welche der folgenden Symptome können mit dem neu aufgetretenen Coronavirus in Verbindung gebracht werden? ,Which of the following symptoms may be related to the newly occurring coronavirus related?,Vorübergehenden Geruchs- und Geschmacksverlust,Temporary loss of smell and taste,"1	Steht in Verbindung  mit dem Coronavirus
2	Steht nicht in Verbindung  mit dem Coronavirus
99	Weiß nicht","1 is in communication with the Coronavirus
2 is not in connection with the Coronavirus
99 Do not know",99,NA,keine,keine,no,Nein,No,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Behandlungsmöglichkeit,treatment option,TREATMENT,Unipark,keine,no,Welche Antwort trifft zu?,Which answer is correct?,"1	Es gibt ein Medikament zur Behandlung des neuartigen Coronavirus.
2	Es gibt einen Impfstoff gegen das neuartige Coronavirus.
3	Es gibt sowohl ein Medikament zur Behandlung als auch einen Impfstoff gegen das neuartige Coronaviurus.
4	Derzeit gibt es weder ein Medikament zur Behandlung noch einen Impfstoff gegen das neuartige Coronavirus.
99	Weiß nicht","1 There is a drug for the treatment of the novel coronavirus.
2 There is a vaccine against the novel coronavirus.
3 There are both a medicament for treatment and a vaccine against the novel Coronaviurus.
4 Currently, there is neither a treatment for even a vaccine against the novel coronavirus.
99 Do not know",99,keine,KNOW_COVID_2,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Übertragungsweg - Wirt,Transmission - host,TRANSMISSION,Unipark,keine,no,Welcher der folgenden Punkte ist korrekt in Bezug auf den Übertragungsweg des neuartigen Coronavirus?,Which is the following correct with respect to the transmission of the novel coronavirus?,"1	Das neuartige Coronavirus ist von Mensch zu Mensch übertragbar.
2	Das neuartige Coronavirus wird nur durch Tiere übertragen.
3	Das neuartige Coronavirus ist nicht übertragbar.
99	Weiß nicht","1 The novel coronavirus can spread from human to human.
2 The novel coronavirus is transmitted only by animals.
3 The new coronavirus is not transferable.
99 Do not know",99,keine,KNOW_COVID_3,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Übertragungsweg,transmission path,"TRANSMISSION_DROP
TRANSMISSION_SMEAR
TRANSMISSION_SEXUAL
TRANSMISSION_AIRBORNE
TRANSMISSION_DONTKNOW",Unipark,keine,no,Das neuartige Coronavirus ist von Mensch zu Mensch übertragbar.     Welche der folgenden Aussagen über die Übertragung des neuartigen Coronavirus sind richtig?,The novel coronavirus can spread from human to human. Which of the following statements about the transfer of the novel coronavirus are correct?,"TRANSMISSION_DROP		Das neuartige Coronavirus ist über Tröpfchen durch Husten, Niesen  oder engen Kontakt übertragbar (Tröpfcheninfektion).
TRANSMISSION_SMEAR		Das neue Coronavirus ist über den fäkal-oralen Weg übertragbar (Schmierinfektion).
TRANSMISSION_SEXUAL		Das neue Coronavirus ist sexuell übertragbar.
TRANSMISSION_AIRBORNE	Das neue Coronavirus ist über kleine Partikel in der Luft übertragbar.
TRANSMISSION_DONTKNOW	Weiß nicht

0	not quoted
1	quoted","TRANSMISSION_DROP The novel coronavirus is through droplets through coughing, sneezing or close contact transferable (droplet infection).
TRANSMISSION_SMEAR The new coronavirus is via the fecal-oral route transferable (smear).
TRANSMISSION_SEXUAL The new coronavirus is sexually transmitted.
TRANSMISSION_AIRBORNE The new coronavirus is transmitted via small particles in the air.
TRANSMISSION_DONTKNOW Do not know

0 not quoted
1 quoted",TRANSMISSION_DONTKNOW = 1,TRANSMISSION_AIRBORNE = NA [Welle 1 und 2],keine,ab Welle 3 ist die Antwortoption TRANSMISSION_DONTKNOW exklusiv und die Antwortoption TRANSMISSION_AIRBORNE ab Welle 3 neu,from shaft 3 the answer option TRANSMISSION_DONTKNOW exclusive and the answer option TRANSMISSION_AIRBORNE from shaft 3 is new,"Ja, Antwortvorgaben","Yes, choice answers",Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Inkubationsdauer,incubation,INCUBATION,Unipark,keine,no,Wie lang ist die Inkubationszeit (d.h. die Zeit von der Virusinfektion bis zur Entwicklung von Krankheitssymptomen) des neuartigen Coronavirus? ,"How long is the incubation period (that is, the time from the viral infection to the development of disease symptoms) of the novel coronavirus?","1	Zirka 3 Tage
2	Zirka 7 Tage
3	Zirka 14 Tage
99	Weiß nicht","1 Approximately 3 days
2 Approximately 7 days
3 Approximately 14 days
99 Do not know",99,keine,KNOW_COVID_4,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Immunität,immunity,IMMUNITY,Unipark,keine,no,"Welche der folgenden Aussagen über den Verlauf der Krankheit, den das neuartige Coronavirus auslöst, ist richtig? ","Which of the following statements about the course of the disease, which the novel coronavirus causes, is that right?","1	Nachdem eine Person die Krankheit überstanden hat, ist diese gegen das neuartige Coronavirus immun.
2	Nachdem eine Person die Krankheit überstanden hat, ist diese nicht zwangsläufig gegen das neuartige Coronavirus immun.
99	Weiß nicht","1 After a person has survived the disease, it is immune to the novel coronavirus.
2 After a person has survived the disease, immune they are not necessarily against the novel coronavirus.
99 Do not know",99,keine,keine,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Infektionswahrscheinlichkeit,probability of infection,PROB,Unipark,keine,no,"Wie hoch schätzen Sie Ihre Wahrscheinlichkeit ein, dass Sie sich mit dem neuartigen Coronavirus infizieren?",How high do you rate your likelihood of you becoming infected with the novel coronavirus?,"1	Extrem unwahrscheinlich   
2	 
3	 
4	 
5	 
6	 
7	Extrem wahrscheinlich  ","1 Extremely unlikely
2
3
4
5
6
7 Extremely likely",keine,-77,keine,"in Welle 8 Nacherhebung, dadurch fehlende Werte möglich","in clearance recovery shaft 8, characterized missing values ​​possible",Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Schweregrad,severity,SEVERITY,Unipark,keine,no,Wie schätzen Sie eine Infektion mit dem neuartigen Coronavirus für sich selbst ein?,How do you assess infection with the novel coronavirus for yourself?,"1	Völlig harmlos
2	 
3	 
4	 
5	 
6	 
7	Extrem gefährlich ","1 Fully harmless
2
3
4
5
6
7 Extremely dangerous",keine,keine,keine,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Anfälligkeit,susceptibility,SUSCEP_OWN,Unipark,keine,no,Als wie anfällig schätzen Sie sich für eine Infektion mit dem neuartigen Coronavirus ein? ,As how vulnerable do you perceive yourself to infection with the novel coronavirus?,"1	Überhaupt nicht anfällig   
2	 
3	 
4	 
5	 
6	 
7	Sehr anfällig  ","1 Not at all prone
2
3
4
5
6
7 Very susceptible",keine,keine,keine,Welle 1 Abfrage nach Umsetzung individuelle Schutzmaßnahmen; ab Welle 2 Abfrage auf einer Seite mit PROB und SEVERITY,Shaft 1 individual query by reacting protection; from shaft 2 query on one side with PROB and SEVERITY,"Ja, Position im Fragebogen","Yes, position in the questionnaire",Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Ansteckungsrisiko,risk of infection,PROB_OTHER,Unipark,keine,no,"Bitte denken Sie nun an eine durchschnittliche Person Ihres Alters und Geschlechts. Wie hoch schätzen Sie die Wahrscheinlichkeit dieser Person ein, sich mit dem neuartigen Coronavirus zu infizieren?",Now please think of an average person your age and sex. How high do you estimate the probability of a person's becoming infected with the novel coronavirus?,"1	Extrem unwahrscheinlich   
2	 
3	 
4	 
5	 
6	 
7	Extrem wahrscheinlich  ","1 Extremely unlikely
2
3
4
5
6
7 Extremely likely",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,tba,tba,tba,tba,tba,tba
Ansteckungsrisiko,risk of infection,PROB_MEETOTHER,Unipark,"Wie wahrscheinlich schätzen Sie es ein, dass Sie sich mit COVID-19 anstecken, wenn Sie ...","How likely do you rate it that you get infected with COVID-19, if you ...","Personen treffen, die nicht zu Ihrem Haushalt gehören?",meet people who do not belong to your household?,"1	Extrem unwahrscheinlich   
2	 
3	 
4	 
5	 
6	 
7	Extrem wahrscheinlich  ","1 Extremely unlikely
2
3
4
5
6
7 Extremely likely",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,tba,tba,tba,tba,tba,tba
Ansteckungsrisiko,risk of infection,PROB_SHOP,Unipark,"Wie wahrscheinlich schätzen Sie es ein, dass Sie sich mit COVID-19 anstecken, wenn Sie ...","How likely do you rate it that you get infected with COVID-19, if you ...",Einkaufen gehen?,To go shopping?,"1	Extrem unwahrscheinlich   
2	 
3	 
4	 
5	 
6	 
7	Extrem wahrscheinlich  ","1 Extremely unlikely
2
3
4
5
6
7 Extremely likely",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,tba,tba,tba,tba,tba,tba
Ansteckungsrisiko,risk of infection,PROB_DOC,Unipark,"Wie wahrscheinlich schätzen Sie es ein, dass Sie sich mit COVID-19 anstecken, wenn Sie ...","How likely do you rate it that you get infected with COVID-19, if you ...",beim Arzt sind?,are a doctor?,"1	Extrem unwahrscheinlich   
2	 
3	 
4	 
5	 
6	 
7	Extrem wahrscheinlich  ","1 Extremely unlikely
2
3
4
5
6
7 Extremely likely",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,tba,tba,tba,tba,tba,tba
Ansteckungsrisiko,risk of infection,PROB_OOO,Unipark,"Wie wahrscheinlich schätzen Sie es ein, dass Sie sich mit COVID-19 anstecken, wenn Sie ...","How likely do you rate it that you get infected with COVID-19, if you ...",außer Haus sind?,are out?,"1	Extrem unwahrscheinlich   
2	 
3	 
4	 
5	 
6	 
7	Extrem wahrscheinlich  ","1 Extremely unlikely
2
3
4
5
6
7 Extremely likely",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,tba,tba,tba,tba,tba,tba
Vorbereitetsein,To be prepared,PREPAREDNESS,Unipark,keine,no,"Nun würden wir gerne wissen, inwieweit Sie sich auf das neue Coronavirus vorbereitet fühlen.     Wie sicher oder unsicher fühlen Sie sich bei der Frage, welche Schutzmaßnahmen geeignet sind, um eine Infektion mit dem neuartigen Coronavirus zu vermeiden? ",Now we would like to know how you feel prepared for the new coronavirus. How safe or unsafe do you feel about the question of what protection measures are appropriate in order to prevent infection with the novel coronavirus?,"1	Sehr unsicher   
2	 
3	 
4	 
5	 
6	 
7	Sehr sicher  ","1 Very uncertain
2
3
4
5
6
7 Very safe",keine,keine,keine,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Selbstwirksamkeit,self-efficacy,EFFICACY,Unipark,keine,no,In der jetzigen Situation eine Infektion mit dem neuartigen Coronavirus zu vermeiden ist für mich...,In the current situation to avoid infection with the novel coronavirus is for me ...,"1	Extrem schwierig 
2	 
3	 
4	 
5	 
6	 
7	Extrem einfach ","1 Crushing
2
3
4
5
6
7 Extremely easy",keine,keine,keine,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Beurteilung individuelle Schutzmaßnahmen,Assessing individual protection,EP_HANDWASH,Unipark,Welche der folgenden Maßnahmen sind wirksame Präventivmaßnahmen um die Ausbreitung und die Ansteckung mit dem neuartigen Coronavirus zu verhindern?,Which of the following measures to prevent effective preventive measures to control the spread and infection with the novel coronavirus?,Hände waschen,wash your hands,"1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",99,NA,KNOW_CORR_HAND,keine,no,Nein,No,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Beurteilung individuelle Schutzmaßnahmen,Assessing individual protection,EP_TOUCHING,Unipark,Welche der folgenden Maßnahmen sind wirksame Präventivmaßnahmen um die Ausbreitung und die Ansteckung mit dem neuartigen Coronavirus zu verhindern?,Which of the following measures to prevent effective preventive measures to control the spread and infection with the novel coronavirus?,"Augen, Nase und Mund mit ungewaschenen Händen nicht berühren","with unwashed hands do not touch your eyes, nose and mouth","1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",99,keine,KNOW_CORR_TOUCH,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Beurteilung individuelle Schutzmaßnahmen,Assessing individual protection,EP_SANITIZER,Unipark,Welche der folgenden Maßnahmen sind wirksame Präventivmaßnahmen um die Ausbreitung und die Ansteckung mit dem neuartigen Coronavirus zu verhindern?,Which of the following measures to prevent effective preventive measures to control the spread and infection with the novel coronavirus?,Desinfektionsmittel verwenden,Use disinfectants,"1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",99,keine,KNOW_CORR_SANITIZER,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Beurteilung individuelle Schutzmaßnahmen,Assessing individual protection,EP_HOME,Unipark,Welche der folgenden Maßnahmen sind wirksame Präventivmaßnahmen um die Ausbreitung und die Ansteckung mit dem neuartigen Coronavirus zu verhindern?,Which of the following measures to prevent effective preventive measures to control the spread and infection with the novel coronavirus?,Zuhause bleiben wenn man krank ist (z.B. wenn man einen Schnupfen hat),"Stay at home if you are sick (for example, if you have a cold)","1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",99,keine,KNOW_CORR_HOME ,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Beurteilung individuelle Schutzmaßnahmen,Assessing individual protection,EP_COVERING,Unipark,Welche der folgenden Maßnahmen sind wirksame Präventivmaßnahmen um die Ausbreitung und die Ansteckung mit dem neuartigen Coronavirus zu verhindern?,Which of the following measures to prevent effective preventive measures to control the spread and infection with the novel coronavirus?,Mund beim Husten bedecken,cover your mouth when coughing,"1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",99,keine,KNOW_CORR_COVER,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Beurteilung individuelle Schutzmaßnahmen,Assessing individual protection,EP_CLOSE_CONTACT,Unipark,Welche der folgenden Maßnahmen sind wirksame Präventivmaßnahmen um die Ausbreitung und die Ansteckung mit dem neuartigen Coronavirus zu verhindern?,Which of the following measures to prevent effective preventive measures to control the spread and infection with the novel coronavirus?,Engen Kontakt mit infizierten Personen vermeiden,avoid close contact with infected people,"1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",99,keine,KNOW_CORR_CLOSE,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Beurteilung individuelle Schutzmaßnahmen,Assessing individual protection,EP_MASK,Unipark,Welche der folgenden Maßnahmen sind wirksame Präventivmaßnahmen um die Ausbreitung und die Ansteckung mit dem neuartigen Coronavirus zu verhindern?,Which of the following measures to prevent effective preventive measures to control the spread and infection with the novel coronavirus?,Eine Gesichtsmaske tragen / ab Welle 5: Eine Atemschutzmaske tragen ,A facemask / down shaft 5: Wear a respirator,"1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",99,keine,"KNOW_FALSE_MASK
KNOW_CORR_MASK",keine,no,"Ja, Formulierung","Yes, formulation",Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Beurteilung individuelle Schutzmaßnahmen,Assessing individual protection,EP_HANDWASH20,Unipark,Welche der folgenden Maßnahmen sind wirksame Präventivmaßnahmen um die Ausbreitung und die Ansteckung mit dem neuartigen Coronavirus zu verhindern?,Which of the following measures to prevent effective preventive measures to control the spread and infection with the novel coronavirus?,20 Sekunden Hände waschen,Wash hands 20 seconds,"1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",99,NA,KNOW_CORR_HAND20,keine,no,Nein,No,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Beurteilung individuelle Schutzmaßnahmen,Assessing individual protection,EP_HANDSHAKE,Unipark,Welche der folgenden Maßnahmen sind wirksame Präventivmaßnahmen um die Ausbreitung und die Ansteckung mit dem neuartigen Coronavirus zu verhindern?,Which of the following measures to prevent effective preventive measures to control the spread and infection with the novel coronavirus?,Händeschütteln vermeiden,Avoid shaking hands,"1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",99,NA,KNOW_CORR_HANDSHAKE,keine,no,Nein,No,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Beurteilung individuelle Schutzmaßnahmen,Assessing individual protection,EP_SPACE150,Unipark,Welche der folgenden Maßnahmen sind wirksame Präventivmaßnahmen um die Ausbreitung und die Ansteckung mit dem neuartigen Coronavirus zu verhindern?,Which of the following measures to prevent effective preventive measures to control the spread and infection with the novel coronavirus?,"In der Öffentlichkeit einen Abstand von 1,50 Meten zu anderen Menschen einhalten",maintain a distance of 1.50 Meten in public to other people,"1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",99,NA,KNOW_CORR_SPACE150,keine,no,Nein,No,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Beurteilung individuelle Schutzmaßnahmen,Assessing individual protection,EP_SQUAR_WITHOUT,Unipark,Welche der folgenden Maßnahmen sind wirksame Präventivmaßnahmen um die Ausbreitung und die Ansteckung mit dem neuartigen Coronavirus zu verhindern?,Which of the following measures to prevent effective preventive measures to control the spread and infection with the novel coronavirus?,Selbst-Quarantäne ohne Symptome,Self-quarantine without symptoms,"1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",99,NA,KNOW_CORR_SQUAR_WITHOUT,keine,no,Nein,No,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Beurteilung individuelle Schutzmaßnahmen,Assessing individual protection,EP_SQUAR_WITH,Unipark,Welche der folgenden Maßnahmen sind wirksame Präventivmaßnahmen um die Ausbreitung und die Ansteckung mit dem neuartigen Coronavirus zu verhindern?,Which of the following measures to prevent effective preventive measures to control the spread and infection with the novel coronavirus?,Selbst-Quarantäne bei Symptomen,Self-quarantine for symptoms,"1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",99,NA,KNOW_CORR_SQUAR_WITH,keine,no,Nein,No,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Beurteilung individuelle Schutzmaßnahmen,Assessing individual protection,EP_AVOID,Unipark,Welche der folgenden Maßnahmen sind wirksame Präventivmaßnahmen um die Ausbreitung und die Ansteckung mit dem neuartigen Coronavirus zu verhindern?,Which of the following measures to prevent effective preventive measures to control the spread and infection with the novel coronavirus?,Öffentliche Orte vermeiden,avoid public places,"1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",103,NA,KNOW_CORR_AVOID,keine,no,Nein,No,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Beurteilung individuelle Schutzmaßnahmen,Assessing individual protection,EP_POSTAL,Unipark,Welche der folgenden Maßnahmen sind wirksame Präventivmaßnahmen um die Ausbreitung und die Ansteckung mit dem neuartigen Coronavirus zu verhindern?,Which of the following measures to prevent effective preventive measures to control the spread and infection with the novel coronavirus?,Vorsicht beim Öffnen von Postsendungen,Be careful when opening of mail,"1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",99,NA,KNOW_FALSE_POSTAL,keine,no,Nein,No,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Beurteilung individuelle Schutzmaßnahmen,Assessing individual protection,EP_SUPPLEMENTS,Unipark,Welche der folgenden Maßnahmen sind wirksame Präventivmaßnahmen um die Ausbreitung und die Ansteckung mit dem neuartigen Coronavirus zu verhindern?,Which of the following measures to prevent effective preventive measures to control the spread and infection with the novel coronavirus?,Nahrungsergänzungsmittel einnehmen,taking dietary supplements,"1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",99,NA,KNOW_FALSE_SUPPLEMENTS,keine,no,Nein,No,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
